,SKU,Quantity,Service Level,Turnaround,Price,Paper Type,Sides Printed,Size
0,FL-170S-VK-40,25,express,0,16.54,170gsilk,oneside,carresmall
1,FL-170S-VK-40,25,standard,2,15.04,170gsilk,oneside,carresmall
2,FL-170S-VK-40,25,saver,4,14.29,170gsilk,oneside,carresmall
3,FL-170S-A6-40,25,saver,4,14.29,170gsilk,oneside,a6
4,FL-170S-VG-40,25,saver,4,14.46,170gsilk,oneside,carrelarge
5,FL-170S-VG-40,25,standard,2,15.23,170gsilk,oneside,carrelarge
6,FL-170S-VG-40,25,express,0,17.64,170gsilk,oneside,carrelarge
7,FL-170S-A6-40,25,standard,2,15.04,170gsilk,oneside,a6
8,FL-170S-XL-44,25,saver,4,15.45,170gsilk,bothsides,xlong
9,FL-170S-XL-44,25,standard,2,20.23,170gsilk,bothsides,xlong
10,FL-170S-XL-44,25,express,0,24.83,170gsilk,bothsides,xlong
11,FL-170S-US-40,25,express,0,17.57,170gsilk,oneside,us
12,FL-170S-US-40,25,standard,2,15.33,170gsilk,oneside,us
13,FL-170S-US-40,25,saver,4,14.56,170gsilk,oneside,us
14,FL-170S-VM-44,25,saver,4,15.04,170gsilk,bothsides,carremedium
15,FL-170S-VM-44,25,standard,2,15.83,170gsilk,bothsides,carremedium
16,FL-170S-VM-44,25,express,0,17.41,170gsilk,bothsides,carremedium
17,FL-170S-VK-44,25,saver,4,15.04,170gsilk,bothsides,carresmall
18,FL-170S-VG-44,25,saver,4,15.98,170gsilk,bothsides,carrelarge
19,FL-170S-VG-44,25,standard,2,16.82,170gsilk,bothsides,carrelarge
20,FL-170S-VG-44,25,express,0,18.5,170gsilk,bothsides,carrelarge
21,FL-170S-VK-44,25,express,0,17.41,170gsilk,bothsides,carresmall
22,FL-170S-VK-44,25,standard,2,15.83,170gsilk,bothsides,carresmall
23,FL-170S-A6-40,25,express,0,16.54,170gsilk,oneside,a6
24,FL-170S-AL-44,25,saver,4,14.53,170gsilk,bothsides,along
25,FL-170S-AL-44,25,standard,2,19.31,170gsilk,bothsides,along
26,FL-170S-AL-44,25,express,0,23.91,170gsilk,bothsides,along
27,FL-170S-VM-40,25,standard,2,14.95,170gsilk,oneside,carremedium
28,FL-170S-VM-40,25,saver,4,14.19,170gsilk,oneside,carremedium
29,FL-170S-A5-40,25,express,0,16.54,170gsilk,oneside,a5
30,FL-170S-VM-40,25,express,0,16.54,170gsilk,oneside,carremedium
31,FL-170S-A7-40,25,saver,4,11.49,170gsilk,oneside,a7
32,FL-170S-A7-40,25,standard,2,12.12,170gsilk,oneside,a7
33,FL-170S-A7-40,25,express,0,14.02,170gsilk,oneside,a7
34,FL-170S-A4-44,25,standard,2,16.82,170gsilk,bothsides,a4
35,FL-170S-A4-44,25,saver,4,15.98,170gsilk,bothsides,a4
36,FL-170S-A4-44,25,express,0,18.5,170gsilk,bothsides,a4
37,FL-170S-A5-40,25,saver,4,14.29,170gsilk,oneside,a5
