,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceExpress,Production Days Express,Express Sku
0,25,0.0,Square 105mm x 105mm,170gsm Art Paper Silk Finish,None,Double Sided,,16.72,1,FLY-570-470-600-606-EXPRESS
2728,25,0.0,Square 105mm x 105mm,350gsm Art Board Silk Finish,None,Double Sided,,16.72,1,FLY-509-515-644-514-EXPRESS
2631,25,0.2,A5,120gsm Premium Smooth White Paper,None,Double Sided,,21.94,2,FLY-563-563-578-564-EXPRESS
2623,25,0.0,A3,350gsm Recycled Uncoated,None,Single Sided,,37.11,1,FLY-560-656-562-519-EXPRESS
2551,25,0.2,A7,300gsm Art Board Coated,None,Single Sided,,15.88,1,FLY-655-517-515-527-EXPRESS
2495,25,0.0,A6,170gsm Art Paper Gloss Finish,None,Single Sided,,15.88,1,FLY-474-708-604-652-EXPRESS
2431,25,0.2,A3,120gsm Premium Smooth White Paper,None,Double Sided,,29.26,2,FLY-462-603-607-656-EXPRESS
2397,25,0.0,1/3 A4 (DL),170gsm Art Paper Gloss Finish,None,Single Sided,,16.87,1,FLY-651-559-556-596-EXPRESS
2341,25,0.0,1/3 A4 (DL),130gsm Art Paper Silk Finish,None,Double Sided,,16.72,1,FLY-519-612-566-654-EXPRESS
2272,25,0.0,Square 105mm x 105mm,350gsm Art Board Silk Finish,None,Single Sided,,15.88,1,FLY-543-472-525-562-EXPRESS
2262,25,0.0,A7,350gsm Recycled Uncoated,None,Single Sided,,17.86,1,FLY-460-510-563-650-EXPRESS
2228,25,0.0,A7,130gsm Art Paper Silk Finish,None,Double Sided,,15.16,1,FLY-609-553-609-462-EXPRESS
2194,25,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Single Sided,,15.88,1,FLY-561-556-555-699-EXPRESS
2160,25,0.2,A7,300gsm Art Board Coated,None,Double Sided,,16.72,1,FLY-461-565-472-656-EXPRESS
2126,25,0.2,Square 105mm x 105mm,120gsm Premium Smooth White Paper,None,Double Sided,,19.86,2,FLY-611-551-613-514-EXPRESS
2070,25,0.2,Square 105mm x 105mm,100gsm Premium Smooth White Paper,None,Double Sided,,15.88,2,FLY-462-558-560-613-EXPRESS
2762,25,0.2,A7,120gsm Premium Smooth White Paper,None,Single Sided,,17.86,2,FLY-546-601-601-555-EXPRESS
2036,25,0.2,1/3 A4 (DL),100gsm Premium Smooth White Paper,None,Double Sided,,15.88,2,FLY-596-707-472-648-EXPRESS
2848,25,0.0,A7,350gsm Recycled Uncoated,None,Double Sided,,18.81,1,FLY-520-614-516-651-EXPRESS
2925,25,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Double Sided,,15.68,1,FLY-427-575-563-517-EXPRESS
3649,25,0.0,Square 210mm x 210mm,130gsm Art Paper Gloss Finish,None,Single Sided,,16.39,1,FLY-559-699-613-611-EXPRESS
3609,25,0.0,A7,170gsm Art Paper Gloss Finish,None,Double Sided,,15.68,1,FLY-510-660-562-561-EXPRESS
3575,25,0.2,A3,130gsm Art Paper Silk Finish,None,Double Sided,,18.81,1,FLY-697-609-600-557-EXPRESS
3531,25,0.0,Square 105mm x 105mm,350gsm Recycled Uncoated,None,Single Sided,,19.86,1,FLY-649-568-645-610-EXPRESS
3496,25,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Single Sided,,14.89,1,FLY-512-620-573-470-EXPRESS
3428,25,0.2,A7,100gsm Premium Smooth White Paper,None,Single Sided,,14.3,2,FLY-665-709-560-606-EXPRESS
3392,25,0.0,A4,350gsm Recycled Uncoated,None,Double Sided,,27.17,1,FLY-651-559-558-560-EXPRESS
3358,25,0.0,A4,170gsm Art Paper Gloss Finish,None,Single Sided,,16.87,1,FLY-460-464-476-563-EXPRESS
3324,25,0.2,Square 148mm x 148mm,120gsm Premium Smooth White Paper,None,Single Sided,,20.84,2,FLY-611-506-603-654-EXPRESS
3268,25,0.2,1/3 A4 (DL),120gsm Premium Smooth White Paper,None,Double Sided,,19.86,2,FLY-658-517-526-603-EXPRESS
3210,25,0.0,A4,130gsm Art Paper Gloss Finish,None,Single Sided,,16.39,1,FLY-601-697-615-463-EXPRESS
3113,25,0.2,A3,100gsm Premium Smooth White Paper,None,Single Sided,,22.24,2,FLY-554-663-652-568-EXPRESS
3079,25,0.2,A7,120gsm Premium Smooth White Paper,None,Double Sided,,18.81,2,FLY-511-520-552-520-EXPRESS
2998,25,0.0,1/3 A4 (DL),350gsm Art Board Silk Finish,None,Single Sided,,17.86,1,FLY-430-572-561-610-EXPRESS
2964,25,0.2,Square 105mm x 105mm,100gsm Premium Smooth White Paper,None,Single Sided,,15.09,2,FLY-704-461-567-565-EXPRESS
2891,25,0.2,A4,120gsm Premium Smooth White Paper,None,Single Sided,,22.84,2,FLY-606-563-558-465-EXPRESS
2002,25,0.0,A6,130gsm Art Paper Silk Finish,None,Double Sided,,15.68,1,FLY-468-610-464-468-EXPRESS
1919,25,0.0,A6,300gsm Art Board Coated,None,Single Sided,,16.87,1,FLY-525-602-433-476-EXPRESS
1885,25,0.2,A6,120gsm Premium Smooth White Paper,None,Single Sided,,18.86,2,FLY-520-699-614-508-EXPRESS
1122,25,0.0,Square 210mm x 210mm,170gsm Art Paper Gloss Finish,None,Double Sided,,17.77,1,FLY-572-609-553-554-EXPRESS
1049,25,0.0,1/3 A4 (DL),300gsm Art Board Coated,None,Single Sided,,17.86,1,FLY-646-566-513-514-EXPRESS
1015,25,0.0,A4,170gsm Art Paper Silk Finish,None,Single Sided,,16.87,1,FLY-559-569-613-566-EXPRESS
968,25,0.2,A3,170gsm Art Paper Gloss Finish,None,Single Sided,,19.86,1,FLY-466-600-516-467-EXPRESS
912,25,0.0,A5,350gsm Art Board Silk Finish,None,Double Sided,,17.77,1,FLY-658-565-525-469-EXPRESS
878,25,0.0,A4,350gsm Art Board Silk Finish,None,Single Sided,,18.86,1,FLY-601-547-654-469-EXPRESS
827,25,0.2,A7,350gsm Art Board Silk Finish,None,Double Sided,,15.68,1,FLY-555-651-469-510-EXPRESS
803,25,0.0,A3,350gsm Art Board Silk Finish,None,Single Sided,,22.84,1,FLY-514-561-525-612-EXPRESS
769,25,0.2,A6,100gsm Premium Smooth White Paper,None,Double Sided,,15.88,2,FLY-696-612-513-616-EXPRESS
735,25,0.2,A5,100gsm Premium Smooth White Paper,None,Double Sided,,17.56,2,FLY-605-653-555-522-EXPRESS
698,25,0.0,1/3 A4 (DL),350gsm Recycled Uncoated,None,Single Sided,,21.84,1,FLY-645-614-556-656-EXPRESS
664,25,0.0,A6,300gsm Art Board Coated,None,Double Sided,,17.77,1,FLY-616-510-520-657-EXPRESS
625,25,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Double Sided,,27.17,1,FLY-652-540-557-656-EXPRESS
552,25,0.0,Square 210mm x 210mm,300gsm Art Board Coated,None,Double Sided,,18.81,1,FLY-555-609-514-509-EXPRESS
496,25,0.0,Square 148mm x 148mm,170gsm Art Paper Gloss Finish,None,Single Sided,,15.88,1,FLY-610-608-616-563-EXPRESS
1156,25,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Double Sided,,16.72,1,FLY-405-508-523-603-EXPRESS
1190,25,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Double Sided,,17.77,1,FLY-608-511-549-465-EXPRESS
1224,25,0.0,A6,130gsm Art Paper Gloss Finish,None,Double Sided,,15.68,1,FLY-500-562-558-563-EXPRESS
1259,25,0.2,A3,300gsm Art Board Coated,None,Single Sided,,22.84,1,FLY-699-516-565-577-EXPRESS
1828,25,0.0,A5,350gsm Art Board Silk Finish,None,Single Sided,,16.87,1,FLY-567-509-615-698-EXPRESS
1794,25,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Double Sided,,17.77,1,FLY-506-603-615-609-EXPRESS
