,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceSaver,Production Days Saver,Saver Sku
0,25,0.0,Square 105mm x 105mm,170gsm Art Paper Silk Finish,None,Double Sided,,14.44,5,FLY-570-470-600-606-SAVER
1,25,0.0,Square 105mm x 105mm,350gsm Art Board Silk Finish,None,Double Sided,,14.44,5,FLY-509-515-644-514-SAVER
2,25,0.2,A5,120gsm Premium Smooth White Paper,None,Double Sided,,18.95,6,FLY-563-563-578-564-SAVER
3,25,0.0,A3,350gsm Recycled Uncoated,None,Single Sided,,32.05,5,FLY-560-656-562-519-SAVER
4,25,0.2,A7,300gsm Art Board Coated,None,Single Sided,,13.72,5,FLY-655-517-515-527-SAVER
5,25,0.0,A6,170gsm Art Paper Gloss Finish,None,Single Sided,,13.72,5,FLY-474-708-604-652-SAVER
6,25,0.2,A3,120gsm Premium Smooth White Paper,None,Double Sided,,25.27,6,FLY-462-603-607-656-SAVER
7,25,0.0,1/3 A4 (DL),170gsm Art Paper Gloss Finish,None,Single Sided,,14.57,5,FLY-651-559-556-596-SAVER
8,25,0.0,1/3 A4 (DL),130gsm Art Paper Silk Finish,None,Double Sided,,14.44,5,FLY-519-612-566-654-SAVER
9,25,0.0,Square 105mm x 105mm,350gsm Art Board Silk Finish,None,Single Sided,,13.72,5,FLY-543-472-525-562-SAVER
10,25,0.0,A7,350gsm Recycled Uncoated,None,Single Sided,,15.43,5,FLY-460-510-563-650-SAVER
11,25,0.0,A7,130gsm Art Paper Silk Finish,None,Double Sided,,13.09,5,FLY-609-553-609-462-SAVER
12,25,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Single Sided,,13.72,5,FLY-561-556-555-699-SAVER
13,25,0.2,A7,300gsm Art Board Coated,None,Double Sided,,14.44,5,FLY-461-565-472-656-SAVER
14,25,0.2,Square 105mm x 105mm,120gsm Premium Smooth White Paper,None,Double Sided,,17.15,6,FLY-611-551-613-514-SAVER
15,25,0.2,Square 105mm x 105mm,100gsm Premium Smooth White Paper,None,Double Sided,,13.72,6,FLY-462-558-560-613-SAVER
16,25,0.2,A7,120gsm Premium Smooth White Paper,None,Single Sided,,15.43,6,FLY-546-601-601-555-SAVER
17,25,0.2,1/3 A4 (DL),100gsm Premium Smooth White Paper,None,Double Sided,,13.72,6,FLY-596-707-472-648-SAVER
18,25,0.0,A7,350gsm Recycled Uncoated,None,Double Sided,,16.24,5,FLY-520-614-516-651-SAVER
19,25,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Double Sided,,13.54,5,FLY-427-575-563-517-SAVER
20,25,0.0,Square 210mm x 210mm,130gsm Art Paper Gloss Finish,None,Single Sided,,14.15,5,FLY-559-699-613-611-SAVER
21,25,0.0,A7,170gsm Art Paper Gloss Finish,None,Double Sided,,13.54,5,FLY-510-660-562-561-SAVER
22,25,0.2,A3,130gsm Art Paper Silk Finish,None,Double Sided,,16.24,5,FLY-697-609-600-557-SAVER
23,25,0.0,Square 105mm x 105mm,350gsm Recycled Uncoated,None,Single Sided,,17.15,5,FLY-649-568-645-610-SAVER
