,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceStandard,Production Days Standard,Standard Sku
0,25,0.0,Square 105mm x 105mm,170gsm Art Paper Silk Finish,None,Double Sided,,15.2,3,FLY-570-470-600-606-STANDARD
2728,25,0.0,Square 105mm x 105mm,350gsm Art Board Silk Finish,None,Double Sided,,15.2,3,FLY-509-515-644-514-STANDARD
2631,25,0.2,A5,120gsm Premium Smooth White Paper,None,Double Sided,,19.95,4,FLY-563-563-578-564-STANDARD
2623,25,0.0,A3,350gsm Recycled Uncoated,None,Single Sided,,33.74,3,FLY-560-656-562-519-STANDARD
2551,25,0.2,A7,300gsm Art Board Coated,None,Single Sided,,14.44,3,FLY-655-517-515-527-STANDARD
2495,25,0.0,A6,170gsm Art Paper Gloss Finish,None,Single Sided,,14.44,3,FLY-474-708-604-652-STANDARD
2431,25,0.2,A3,120gsm Premium Smooth White Paper,None,Double Sided,,26.6,4,FLY-462-603-607-656-STANDARD
2397,25,0.0,1/3 A4 (DL),170gsm Art Paper Gloss Finish,None,Single Sided,,15.34,3,FLY-651-559-556-596-STANDARD
2341,25,0.0,1/3 A4 (DL),130gsm Art Paper Silk Finish,None,Double Sided,,15.2,3,FLY-519-612-566-654-STANDARD
2272,25,0.0,Square 105mm x 105mm,350gsm Art Board Silk Finish,None,Single Sided,,14.44,3,FLY-543-472-525-562-STANDARD
2262,25,0.0,A7,350gsm Recycled Uncoated,None,Single Sided,,16.24,3,FLY-460-510-563-650-STANDARD
2228,25,0.0,A7,130gsm Art Paper Silk Finish,None,Double Sided,,13.78,3,FLY-609-553-609-462-STANDARD
2194,25,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Single Sided,,14.44,3,FLY-561-556-555-699-STANDARD
2160,25,0.2,A7,300gsm Art Board Coated,None,Double Sided,,15.2,3,FLY-461-565-472-656-STANDARD
2126,25,0.2,Square 105mm x 105mm,120gsm Premium Smooth White Paper,None,Double Sided,,18.05,4,FLY-611-551-613-514-STANDARD
2070,25,0.2,Square 105mm x 105mm,100gsm Premium Smooth White Paper,None,Double Sided,,14.44,4,FLY-462-558-560-613-STANDARD
2762,25,0.2,A7,120gsm Premium Smooth White Paper,None,Single Sided,,16.24,4,FLY-546-601-601-555-STANDARD
2036,25,0.2,1/3 A4 (DL),100gsm Premium Smooth White Paper,None,Double Sided,,14.44,4,FLY-596-707-472-648-STANDARD
2848,25,0.0,A7,350gsm Recycled Uncoated,None,Double Sided,,17.1,3,FLY-520-614-516-651-STANDARD
2925,25,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Double Sided,,14.25,3,FLY-427-575-563-517-STANDARD
3649,25,0.0,Square 210mm x 210mm,130gsm Art Paper Gloss Finish,None,Single Sided,,14.9,3,FLY-559-699-613-611-STANDARD
3609,25,0.0,A7,170gsm Art Paper Gloss Finish,None,Double Sided,,14.25,3,FLY-510-660-562-561-STANDARD
3575,25,0.2,A3,130gsm Art Paper Silk Finish,None,Double Sided,,17.1,3,FLY-697-609-600-557-STANDARD
3531,25,0.0,Square 105mm x 105mm,350gsm Recycled Uncoated,None,Single Sided,,18.05,3,FLY-649-568-645-610-STANDARD
3496,25,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Single Sided,,13.54,3,FLY-512-620-573-470-STANDARD
3428,25,0.2,A7,100gsm Premium Smooth White Paper,None,Single Sided,,13.0,4,FLY-665-709-560-606-STANDARD
3392,25,0.0,A4,350gsm Recycled Uncoated,None,Double Sided,,24.7,3,FLY-651-559-558-560-STANDARD
3358,25,0.0,A4,170gsm Art Paper Gloss Finish,None,Single Sided,,15.34,3,FLY-460-464-476-563-STANDARD
3324,25,0.2,Square 148mm x 148mm,120gsm Premium Smooth White Paper,None,Single Sided,,18.95,4,FLY-611-506-603-654-STANDARD
3268,25,0.2,1/3 A4 (DL),120gsm Premium Smooth White Paper,None,Double Sided,,18.05,4,FLY-658-517-526-603-STANDARD
3210,25,0.0,A4,130gsm Art Paper Gloss Finish,None,Single Sided,,14.9,3,FLY-601-697-615-463-STANDARD
3113,25,0.2,A3,100gsm Premium Smooth White Paper,None,Single Sided,,20.22,4,FLY-554-663-652-568-STANDARD
3079,25,0.2,A7,120gsm Premium Smooth White Paper,None,Double Sided,,17.1,4,FLY-511-520-552-520-STANDARD
2998,25,0.0,1/3 A4 (DL),350gsm Art Board Silk Finish,None,Single Sided,,16.24,3,FLY-430-572-561-610-STANDARD
2964,25,0.2,Square 105mm x 105mm,100gsm Premium Smooth White Paper,None,Single Sided,,13.72,4,FLY-704-461-567-565-STANDARD
2891,25,0.2,A4,120gsm Premium Smooth White Paper,None,Single Sided,,20.76,4,FLY-606-563-558-465-STANDARD
2002,25,0.0,A6,130gsm Art Paper Silk Finish,None,Double Sided,,14.25,3,FLY-468-610-464-468-STANDARD
1919,25,0.0,A6,300gsm Art Board Coated,None,Single Sided,,15.34,3,FLY-525-602-433-476-STANDARD
1885,25,0.2,A6,120gsm Premium Smooth White Paper,None,Single Sided,,17.15,4,FLY-520-699-614-508-STANDARD
1122,25,0.0,Square 210mm x 210mm,170gsm Art Paper Gloss Finish,None,Double Sided,,16.15,3,FLY-572-609-553-554-STANDARD
1049,25,0.0,1/3 A4 (DL),300gsm Art Board Coated,None,Single Sided,,16.24,3,FLY-646-566-513-514-STANDARD
1015,25,0.0,A4,170gsm Art Paper Silk Finish,None,Single Sided,,15.34,3,FLY-559-569-613-566-STANDARD
968,25,0.2,A3,170gsm Art Paper Gloss Finish,None,Single Sided,,18.05,3,FLY-466-600-516-467-STANDARD
912,25,0.0,A5,350gsm Art Board Silk Finish,None,Double Sided,,16.15,3,FLY-658-565-525-469-STANDARD
878,25,0.0,A4,350gsm Art Board Silk Finish,None,Single Sided,,17.15,3,FLY-601-547-654-469-STANDARD
827,25,0.2,A7,350gsm Art Board Silk Finish,None,Double Sided,,14.25,3,FLY-555-651-469-510-STANDARD
803,25,0.0,A3,350gsm Art Board Silk Finish,None,Single Sided,,20.76,3,FLY-514-561-525-612-STANDARD
769,25,0.2,A6,100gsm Premium Smooth White Paper,None,Double Sided,,14.44,4,FLY-696-612-513-616-STANDARD
735,25,0.2,A5,100gsm Premium Smooth White Paper,None,Double Sided,,15.96,4,FLY-605-653-555-522-STANDARD
