,sku,quantity,servicelevel,productiondays,price,@material,@printing,@size
7278,FL-250S-US-40,25,standard,2,17.2,250gsilk,oneside,us
15505,FL-140H-A5-44,25,express,0,25.29,140goffset,bothsides,a5
19482,FL-135G-A7-44,25,express,0,15.12,135ggloss,bothsides,a7
19481,FL-135G-A7-44,25,standard,2,13.06,135ggloss,bothsides,a7
19480,FL-135G-A7-44,25,saver,4,12.41,135ggloss,bothsides,a7
19431,FL-140H-VG-44,25,express,0,27.13,140goffset,bothsides,carrelarge
19430,FL-140H-VG-44,25,standard,2,22.53,140goffset,bothsides,carrelarge
19429,FL-140H-VG-44,25,saver,4,17.93,140goffset,bothsides,carrelarge
12532,FL-140H-A7-44,25,standard,2,19.31,140goffset,bothsides,a7
8086,FL-170H-VK-40,25,saver,4,14.07,170goffset,oneside,carresmall
15504,FL-140H-A5-44,25,standard,2,20.69,140goffset,bothsides,a5
8087,FL-170H-VK-40,25,standard,2,18.85,170goffset,oneside,carresmall
12531,FL-140H-A7-44,25,saver,4,14.53,140goffset,bothsides,a7
10790,FL-170G-A6-40,25,standard,2,15.04,170ggloss,oneside,a6
10789,FL-170G-A6-40,25,saver,4,14.29,170ggloss,oneside,a6
2584,FL-135G-XL-44,25,express,0,24.83,135ggloss,bothsides,xlong
2583,FL-135G-XL-44,25,standard,2,20.23,135ggloss,bothsides,xlong
2582,FL-135G-XL-44,25,saver,4,15.45,135ggloss,bothsides,xlong
8105,FL-140H-A5-40,25,saver,4,14.99,140goffset,oneside,a5
8106,FL-140H-A5-40,25,standard,2,19.77,140goffset,oneside,a5
19383,FL-135S-A6-40,25,express,0,15.51,135gsilk,oneside,a6
8088,FL-170H-VK-40,25,express,0,23.45,170goffset,oneside,carresmall
19382,FL-135S-A6-40,25,standard,2,14.1,135gsilk,oneside,a6
15503,FL-140H-A5-44,25,saver,4,15.91,140goffset,bothsides,a5
1908,FL-135S-VM-40,25,standard,2,14.75,135gsilk,oneside,carremedium
7846,FL-400S-A5-44-[ML11],25,standard,2,28.15,400gmattlaminatedbothsides,bothsides,a5
19769,FL-170S-VK-40,25,express,0,16.54,170gsilk,oneside,carresmall
19768,FL-170S-VK-40,25,standard,2,15.04,170gsilk,oneside,carresmall
735,FL-250G-US-44,25,saver,4,16.84,250ggloss,bothsides,us
736,FL-250G-US-44,25,standard,2,17.73,250ggloss,bothsides,us
737,FL-250G-US-44,25,express,0,20.53,250ggloss,bothsides,us
19767,FL-170S-VK-40,25,saver,4,14.29,170gsilk,oneside,carresmall
7847,FL-400S-A5-44-[ML11],25,express,0,32.59,400gmattlaminatedbothsides,bothsides,a5
15436,FL-400S-A5-44,25,standard,2,28.92,400gsilk,bothsides,a5
1909,FL-135S-VM-40,25,express,0,16.54,135gsilk,oneside,carremedium
15437,FL-400S-A5-44,25,express,0,31.55,400gsilk,bothsides,a5
19604,FL-400S-A7-44,25,standard,2,21.23,400gsilk,bothsides,a7
19603,FL-400S-A7-44,25,saver,4,19.3,400gsilk,bothsides,a7
1907,FL-135S-VM-40,25,saver,4,14.01,135gsilk,oneside,carremedium
7875,FL-350G-A6-40,25,saver,6,14.25,350ggloss,oneside,a6
7876,FL-350G-A6-40,25,standard,3,18.85,350ggloss,oneside,a6
7877,FL-350G-A6-40,25,express,2,23.45,350ggloss,oneside,a6
7960,FL-135G-A5-40,25,saver,4,14.24,135ggloss,oneside,a5
7961,FL-135G-A5-40,25,standard,2,15.01,135ggloss,oneside,a5
7962,FL-135G-A5-40,25,express,0,16.57,135ggloss,oneside,a5
19605,FL-400S-A7-44,25,express,0,23.16,400gsilk,bothsides,a7
19381,FL-135S-A6-40,25,saver,4,13.39,135gsilk,oneside,a6
19236,FL-170H-A7-44,25,express,0,33.38,170goffset,bothsides,a7
19235,FL-170H-A7-44,25,standard,2,25.9,170goffset,bothsides,a7
18913,FL-250G-A7-44,25,standard,2,14.47,250ggloss,bothsides,a7
18912,FL-250G-A7-44,25,saver,4,13.75,250ggloss,bothsides,a7
15678,FL-170S-A6-40,25,saver,4,14.29,170gsilk,oneside,a6
8299,FL-170S-VG-40,25,saver,4,14.46,170gsilk,oneside,carrelarge
8300,FL-170S-VG-40,25,standard,2,15.23,170gsilk,oneside,carrelarge
8301,FL-170S-VG-40,25,express,0,17.64,170gsilk,oneside,carrelarge
8390,FL-170G-A6-44,25,saver,4,15.04,170ggloss,bothsides,a6
8391,FL-170G-A6-44,25,standard,2,15.83,170ggloss,bothsides,a6
8392,FL-170G-A6-44,25,express,0,17.41,170ggloss,bothsides,a6
18914,FL-250G-A7-44,25,express,0,16.76,250ggloss,bothsides,a7
2035,FL-400S-A7-40-[GL11],25,standard,2,21.29,400gglosslaminatedbothsides,oneside,a7
13946,FL-350G-A5-40,25,express,2,24.83,350ggloss,oneside,a5
8587,FL-135G-AL-44,25,saver,4,14.53,135ggloss,bothsides,along
