,sku,quantity,servicelevel,productiondays,price,@material,@printing,@size
13073,FL-340H-VG-44,25,express,0,28.51,300goffset,bothsides,carrelarge
2295,FL-400S-A4-40-[ML11],25,standard,2,23.14,400gmattlaminatedbothsides,oneside,a4
2296,FL-400S-A4-40-[ML11],25,express,0,25.24,400gmattlaminatedbothsides,oneside,a4
19873,FL-350G-A5-44,25,express,2,25.29,350ggloss,bothsides,a5
2303,FL-170H-VG-40,25,saver,4,16.37,170goffset,oneside,carrelarge
2304,FL-170H-VG-40,25,standard,2,21.15,170goffset,oneside,carrelarge
2305,FL-170H-VG-40,25,express,0,25.75,170goffset,oneside,carrelarge
19872,FL-350G-A5-44,25,standard,3,20.69,350ggloss,bothsides,a5
19871,FL-350G-A5-44,25,saver,6,16.09,350ggloss,bothsides,a5
14592,FL-400S-A5-40-[ML11],25,express,0,32.03,400gmattlaminatedbothsides,oneside,a5
14591,FL-400S-A5-40-[ML11],25,standard,2,27.94,400gmattlaminatedbothsides,oneside,a5
14590,FL-400S-A5-40-[ML11],25,saver,4,26.54,400gmattlaminatedbothsides,oneside,a5
16547,FL-135G-A5-44,25,saver,4,15.34,135ggloss,bothsides,a5
16548,FL-135G-A5-44,25,standard,2,16.15,135ggloss,bothsides,a5
7433,FL-400S-AL-44-[ML11],25,saver,4,21.61,400gmattlaminatedbothsides,bothsides,along
16549,FL-135G-A5-44,25,express,0,18.71,135ggloss,bothsides,a5
7434,FL-400S-AL-44-[ML11],25,standard,2,26.21,400gmattlaminatedbothsides,bothsides,along
7435,FL-400S-AL-44-[ML11],25,express,0,30.81,400gmattlaminatedbothsides,bothsides,along
9364,FL-140H-A4-44,25,express,0,27.13,140goffset,bothsides,a4
9363,FL-140H-A4-44,25,standard,2,22.53,140goffset,bothsides,a4
9362,FL-140H-A4-44,25,saver,4,17.93,140goffset,bothsides,a4
2415,FL-135S-US-40,25,saver,4,14.39,135gsilk,oneside,us
2416,FL-135S-US-40,25,standard,2,15.15,135gsilk,oneside,us
