,SKU,Quantity,Service Level,Turnaround,Price,Paper Type,Sides Printed,Size
0,FL-170S-VM-40,25,express,0,17.3,170gsilk,oneside,carremedium
1,FL-170S-VM-40,25,standard,2,14.95,170gsilk,oneside,carremedium
2,FL-170S-VM-40,25,saver,4,14.19,170gsilk,oneside,carremedium
3,FL-170S-A6-44,25,saver,4,16.0,170gsilk,bothsides,a6
4,FL-170S-A6-44,25,standard,2,17.6,170gsilk,bothsides,a6
5,FL-170S-A6-44,25,express,0,19.2,170gsilk,bothsides,a6
6,FL-170S-A4-44,25,saver,4,17.08,170gsilk,bothsides,a4
7,FL-170S-A4-44,25,standard,2,17.99,170gsilk,bothsides,a4
8,FL-170S-A4-44,25,express,0,20.81,170gsilk,bothsides,a4
9,FL-170S-A4-40,25,express,0,18.56,170gsilk,oneside,a4
10,FL-170S-A4-40,25,standard,2,16.03,170gsilk,oneside,a4
11,FL-170S-A4-40,25,saver,4,15.23,170gsilk,oneside,a4
12,FL-170S-XL-40,25,express,0,23.91,170gsilk,oneside,xlong
13,FL-170S-XL-40,25,standard,2,19.31,170gsilk,oneside,xlong
14,FL-170S-XL-40,25,saver,4,14.71,170gsilk,oneside,xlong
15,FL-170S-VG-40,25,express,0,17.64,170gsilk,oneside,carrelarge
16,FL-170S-VG-40,25,standard,2,15.23,170gsilk,oneside,carrelarge
17,FL-170S-VG-40,25,saver,4,14.46,170gsilk,oneside,carrelarge
18,FL-170S-A7-40,25,express,0,14.02,170gsilk,oneside,a7
19,FL-170S-A7-40,25,standard,2,12.12,170gsilk,oneside,a7
20,FL-170S-A7-40,25,saver,4,11.49,170gsilk,oneside,a7
21,FL-170S-AL-40,25,express,0,23.45,170gsilk,oneside,along
22,FL-170S-AL-40,25,standard,2,18.85,170gsilk,oneside,along
23,FL-170S-AL-40,25,saver,4,14.07,170gsilk,oneside,along
24,FL-170S-AL-44,25,express,0,23.91,170gsilk,bothsides,along
25,FL-170S-AL-44,25,standard,2,19.31,170gsilk,bothsides,along
26,FL-170S-AL-44,25,saver,4,14.53,170gsilk,bothsides,along
27,FL-170S-VM-44,25,saver,4,15.39,170gsilk,bothsides,carremedium
28,FL-170S-VM-44,25,standard,2,16.2,170gsilk,bothsides,carremedium
29,FL-170S-VM-44,25,express,0,18.76,170gsilk,bothsides,carremedium
30,FL-170S-A5-40,25,saver,4,14.95,170gsilk,oneside,a5
31,FL-170S-A5-40,25,standard,2,15.73,170gsilk,oneside,a5
32,FL-170S-A5-40,25,express,0,18.22,170gsilk,oneside,a5
33,FL-170S-US-44,25,saver,4,15.78,170gsilk,bothsides,us
34,FL-170S-US-44,25,standard,2,16.61,170gsilk,bothsides,us
35,FL-170S-US-44,25,express,0,19.24,170gsilk,bothsides,us
36,FL-170S-A6-40,25,express,0,18.47,170gsilk,oneside,a6
37,FL-170S-A6-40,25,standard,2,16.93,170gsilk,oneside,a6
38,FL-170S-A7-44,25,express,0,15.46,170gsilk,bothsides,a7
39,FL-170S-A6-40,25,saver,4,15.39,170gsilk,oneside,a6
40,FL-170S-US-40,25,express,0,17.75,170gsilk,oneside,us
41,FL-170S-A7-44,25,standard,2,13.36,170gsilk,bothsides,a7
42,FL-170S-A7-44,25,saver,4,12.69,170gsilk,bothsides,a7
43,FL-170S-A5-44,25,saver,4,16.2,170gsilk,bothsides,a5
44,FL-170S-A5-44,25,standard,2,17.05,170gsilk,bothsides,a5
45,FL-170S-A5-44,25,express,0,19.72,170gsilk,bothsides,a5
46,FL-170S-US-40,25,standard,2,15.33,170gsilk,oneside,us
47,FL-170S-US-40,25,saver,4,14.56,170gsilk,oneside,us
48,FL-170S-VK-44,25,express,0,26.61,170gsilk,bothsides,carresmall
49,FL-170S-VK-44,25,standard,2,22.99,170gsilk,bothsides,carresmall
50,FL-170S-VG-44,25,express,0,19.77,170gsilk,bothsides,carrelarge
51,FL-170S-VG-44,25,standard,2,17.08,170gsilk,bothsides,carrelarge
52,FL-170S-XL-44,25,saver,4,15.45,170gsilk,bothsides,xlong
53,FL-170S-XL-44,25,standard,2,20.23,170gsilk,bothsides,xlong
54,FL-170S-VG-44,25,saver,4,16.23,170gsilk,bothsides,carrelarge
55,FL-170S-VK-40,25,saver,4,22.75,170gsilk,oneside,carresmall
56,FL-170S-VK-40,25,standard,2,23.97,170gsilk,oneside,carresmall
57,FL-170S-VK-40,25,express,0,25.22,170gsilk,oneside,carresmall
58,FL-170S-XL-44,25,express,0,24.83,170gsilk,bothsides,xlong
59,FL-170S-VK-44,25,saver,4,21.84,170gsilk,bothsides,carresmall
60,FL-170S-VK-44,50,express,0,27.04,170gsilk,bothsides,carresmall
61,FL-170S-VK-44,50,standard,2,23.35,170gsilk,bothsides,carresmall
62,FL-170S-VG-44,50,saver,4,18.19,170gsilk,bothsides,carrelarge
63,FL-170S-VG-44,50,standard,2,19.14,170gsilk,bothsides,carrelarge
64,FL-170S-VG-44,50,express,0,22.16,170gsilk,bothsides,carrelarge
65,FL-170S-US-44,50,saver,4,16.37,170gsilk,bothsides,us
66,FL-170S-US-44,50,express,0,19.93,170gsilk,bothsides,us
67,FL-170S-US-40,50,saver,4,16.02,170gsilk,oneside,us
68,FL-170S-VK-44,50,saver,4,22.19,170gsilk,bothsides,carresmall
69,FL-170S-US-44,50,standard,2,17.22,170gsilk,bothsides,us
70,FL-170S-A5-40,50,express,0,20.16,170gsilk,oneside,a5
71,FL-170S-A5-40,50,standard,2,17.41,170gsilk,oneside,a5
72,FL-170S-US-40,50,standard,2,16.86,170gsilk,oneside,us
73,FL-170S-A5-40,50,saver,4,16.54,170gsilk,oneside,a5
74,FL-170S-US-40,50,express,0,19.26,170gsilk,oneside,us
75,FL-170S-AL-44,50,express,0,24.83,170gsilk,bothsides,along
76,FL-170S-AL-44,50,standard,2,20.23,170gsilk,bothsides,along
77,FL-170S-AL-44,50,saver,4,15.45,170gsilk,bothsides,along
78,FL-170S-VM-44,50,saver,4,16.03,170gsilk,bothsides,carremedium
