,sku,quantity,servicelevel,productiondays,price,@material,@printing,@size
54,FL-170S-VM-40,25,express,0,17.3,170gsilk,oneside,carremedium
58,FL-170S-VM-40,25,standard,2,14.95,170gsilk,oneside,carremedium
59,FL-170S-VM-40,25,saver,4,14.19,170gsilk,oneside,carremedium
99,FL-170S-A6-44,25,saver,4,16.0,170gsilk,bothsides,a6
100,FL-170S-A6-44,25,standard,2,17.6,170gsilk,bothsides,a6
101,FL-170S-A6-44,25,express,0,19.2,170gsilk,bothsides,a6
104,FL-170S-A4-44,25,saver,4,17.08,170gsilk,bothsides,a4
105,FL-170S-A4-44,25,standard,2,17.99,170gsilk,bothsides,a4
106,FL-170S-A4-44,25,express,0,20.81,170gsilk,bothsides,a4
127,FL-170S-A4-40,25,express,0,18.56,170gsilk,oneside,a4
154,FL-170S-A4-40,25,standard,2,16.03,170gsilk,oneside,a4
155,FL-170S-A4-40,25,saver,4,15.23,170gsilk,oneside,a4
227,FL-170S-XL-40,25,express,0,23.91,170gsilk,oneside,xlong
231,FL-170S-XL-40,25,standard,2,19.31,170gsilk,oneside,xlong
233,FL-170S-XL-40,25,saver,4,14.71,170gsilk,oneside,xlong
237,FL-170S-VG-40,25,express,0,17.64,170gsilk,oneside,carrelarge
238,FL-170S-VG-40,25,standard,2,15.23,170gsilk,oneside,carrelarge
239,FL-170S-VG-40,25,saver,4,14.46,170gsilk,oneside,carrelarge
305,FL-170S-A7-40,25,express,0,14.02,170gsilk,oneside,a7
306,FL-170S-A7-40,25,standard,2,12.12,170gsilk,oneside,a7
307,FL-170S-A7-40,25,saver,4,11.49,170gsilk,oneside,a7
317,FL-170S-AL-40,25,express,0,23.45,170gsilk,oneside,along
318,FL-170S-AL-40,25,standard,2,18.85,170gsilk,oneside,along
319,FL-170S-AL-40,25,saver,4,14.07,170gsilk,oneside,along
320,FL-170S-AL-44,25,express,0,23.91,170gsilk,bothsides,along
327,FL-170S-AL-44,25,standard,2,19.31,170gsilk,bothsides,along
328,FL-170S-AL-44,25,saver,4,14.53,170gsilk,bothsides,along
340,FL-170S-VM-44,25,saver,4,15.39,170gsilk,bothsides,carremedium
341,FL-170S-VM-44,25,standard,2,16.2,170gsilk,bothsides,carremedium
342,FL-170S-VM-44,25,express,0,18.76,170gsilk,bothsides,carremedium
392,FL-170S-A5-40,25,saver,4,14.95,170gsilk,oneside,a5
393,FL-170S-A5-40,25,standard,2,15.73,170gsilk,oneside,a5
394,FL-170S-A5-40,25,express,0,18.22,170gsilk,oneside,a5
481,FL-170S-US-44,25,saver,4,15.78,170gsilk,bothsides,us
482,FL-170S-US-44,25,standard,2,16.61,170gsilk,bothsides,us
483,FL-170S-US-44,25,express,0,19.24,170gsilk,bothsides,us
575,FL-170S-A6-40,25,express,0,18.47,170gsilk,oneside,a6
587,FL-170S-A6-40,25,standard,2,16.93,170gsilk,oneside,a6
588,FL-170S-A7-44,25,express,0,15.46,170gsilk,bothsides,a7
589,FL-170S-A6-40,25,saver,4,15.39,170gsilk,oneside,a6
605,FL-170S-US-40,25,express,0,17.75,170gsilk,oneside,us
606,FL-170S-A7-44,25,standard,2,13.36,170gsilk,bothsides,a7
607,FL-170S-A7-44,25,saver,4,12.69,170gsilk,bothsides,a7
609,FL-170S-A5-44,25,saver,4,16.2,170gsilk,bothsides,a5
