SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-0003402184,Aluminium Composite Signage,6,A3,A3,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,8 Sets,20,577.56,None
R1-00072d62b1,Aluminium Composite Signage,6,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,15 Sets,20,5721.46,None
R1-00120e0405,Aluminium Composite Signage,20,A2,A2,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,13 Sets,20,3944.87,None
R1-002b690a4a,Aluminium Composite Signage,1,A3,A3,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,2 Sets,20,55.68,None
R1-00392326f9,Aluminium Composite Signage,3,A0,A0,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,13 Sets,20,2917.29,None
R1-003b6d9f9b,Aluminium Composite Signage,30,A0,A0,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,7 Sets,20,13716.27,None
R1-003c48733a,Aluminium Composite Signage,25,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,12 Sets,20,18019.84,None
R1-003d4c9a38,Aluminium Composite Signage,20,A2,A2,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,1 Set,20,306.82,None
R1-00450c09b5,Aluminium Composite Signage,10,A2,A2,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,3 Sets,20,514.16,None
R1-004d57ac0a,Aluminium Composite Signage,35,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,3 Sets,20,6174.31,None
R1-0051429a6e,Aluminium Composite Signage,50,A3,A3,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,11 Sets,20,3749.58,None
R1-0052ef3337,Aluminium Composite Signage,9,A3,A3,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,7 Sets,20,705.74,None
R1-00580c7755,Aluminium Composite Signage,45,A3,A3,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,14 Sets,20,4354.03,None
R1-0058951bab,Aluminium Composite Signage,15,A3,A3,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,11 Sets,20,1448.78,None
R1-005e248499,Aluminium Composite Signage,40,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,7 Sets,20,16396.17,None
R1-0068550f2a,Aluminium Composite Signage,5,A3,A3,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,3 Sets,20,182.94,None
R1-006d2e2498,Aluminium Composite Signage,50,A3,A3,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,8 Sets,20,3021.85,None
R1-006fbee690,Aluminium Composite Signage,25,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,6 Sets,20,9011.14,None
R1-006fef473d,Aluminium Composite Signage,9,A2,A2,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,6 Sets,20,864.04,None
R1-0073d1df2d,Aluminium Composite Signage,15,A2,A2,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,3 Sets,20,633.63,None
R1-0078496f6d,Aluminium Composite Signage,2,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,5 Sets,20,719.92,None
R1-007986f1ff,Aluminium Composite Signage,9,A2,A2,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,10 Sets,20,1564.83,None
R1-0082d99876,Aluminium Composite Signage,50,A2,A2,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,13 Sets,20,7794.51,None
R1-0093f1a2e8,Aluminium Composite Signage,15,A1,A1,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,15 Sets,20,6365.03,None
R1-00942826ac,Aluminium Composite Signage,1,A3,A3,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,2 Sets,20,59.97,None
R1-009bcc3644,Aluminium Composite Signage,20,A0,A0,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,13 Sets,20,17206.12,None
R1-00a8ce4996,Aluminium Composite Signage,30,A1,A1,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,5 Sets,20,4122.98,None
R1-00ad532dfa,Aluminium Composite Signage,15,A4,A4,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,6 Sets,20,436.53,None
R1-00b512e4bd,Aluminium Composite Signage,5,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,12 Sets,20,3911.75,None
R1-00b5fe6d8a,Aluminium Composite Signage,45,A0,A0,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,1 Set,20,2889.52,None
R1-00b64317aa,Aluminium Composite Signage,2,A4,A4,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,13 Sets,20,426.10,None
R1-00b75625e5,Aluminium Composite Signage,50,A1,A1,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,14 Sets,20,17012.64,None
R1-00bed85c3f,Aluminium Composite Signage,2,A0,A0,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,14 Sets,20,2231.75,None
R1-00c28268c0,Aluminium Composite Signage,7,A1,A1,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,2 Sets,20,367.43,None
R1-00c6a791f1,Aluminium Composite Signage,5,A1,A1,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,15 Sets,20,2347.10,None
R1-00d1e5dfb2,Aluminium Composite Signage,6,A4,A4,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,6 Sets,20,242.88,None
R1-00d73c9c2f,Aluminium Composite Signage,6,A4,A4,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,8 Sets,20,339.88,None
R1-00e2602354,Aluminium Composite Signage,7,A1,A1,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,13 Sets,20,2466.00,None
R1-00e30d4202,Aluminium Composite Signage,7,A1,A1,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,13 Sets,20,2741.09,None
R1-00e37ceb56,Aluminium Composite Signage,20,A1,A1,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,10 Sets,20,5088.43,None
R1-00fb85e697,Aluminium Composite Signage,3,A1,A1,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,8 Sets,20,818.69,None
R1-010475edf2,Aluminium Composite Signage,15,A2,A2,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,6 Sets,20,1292.08,None
R1-0110ab7017,Aluminium Composite Signage,3,A4,A4,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,15 Sets,20,448.87,None
R1-0113b9782d,Aluminium Composite Signage,5,A3,A3,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,8 Sets,20,497.18,None
R1-01156cfd9c,Aluminium Composite Signage,45,A1,A1,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,10 Sets,20,10962.68,None
R1-0120460299,Aluminium Composite Signage,30,A0,A0,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,7 Sets,20,13731.56,None
R1-0120f9bcb6,Aluminium Composite Signage,8,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,11 Sets,20,5592.58,None
R1-0121e53b31,Aluminium Composite Signage,8,A3,A3,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,6 Sets,20,559.34,None
R1-0128963989,Aluminium Composite Signage,6,A4,A4,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,14 Sets,20,656.02,None
R1-012a98cbcd,Aluminium Composite Signage,15,A2,A2,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,9 Sets,20,1958.18,None
R1-012cab917d,Aluminium Composite Signage,1,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,12 Sets,20,943.45,None
R1-012e4fe195,Aluminium Composite Signage,45,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,15 Sets,20,39301.07,None
R1-0132af75e5,Aluminium Composite Signage,8,A4,A4,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,14 Sets,20,741.63,None
R1-0138acdfd0,Aluminium Composite Signage,40,A3,A3,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,2 Sets,20,575.40,None
R1-013d76282b,Aluminium Composite Signage,9,A1,A1,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,7 Sets,20,1637.86,None
R1-0140b0ebbb,Aluminium Composite Signage,7,A2,A2,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,8 Sets,20,919.21,None
R1-01452c6f1d,Aluminium Composite Signage,2,A4,A4,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,11 Sets,20,305.64,None
R1-0157faee93,Aluminium Composite Signage,20,A3,A3,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,9 Sets,20,1477.83,None
R1-0170ab9f96,Aluminium Composite Signage,3,A2,A2,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,3 Sets,20,180.78,None
R1-017fba8d80,Aluminium Composite Signage,40,A4,A4,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,10 Sets,20,1546.17,None
R1-0180803f77,Aluminium Composite Signage,35,A2,A2,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,3 Sets,20,1302.22,None
R1-01948f64ba,Aluminium Composite Signage,1,A3,A3,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,14 Sets,20,439.90,None
R1-019ac8df6e,Aluminium Composite Signage,40,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,3 Sets,20,6953.63,None
R1-019cf64401,Aluminium Composite Signage,10,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,9 Sets,20,5564.95,None
R1-01bfd4fc61,Aluminium Composite Signage,1,A3,A3,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,9 Sets,20,264.46,None
R1-01c08a1b5f,Aluminium Composite Signage,25,A3,A3,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,11 Sets,20,2112.82,None
R1-01c2adc361,Aluminium Composite Signage,3,A2,A2,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,6 Sets,20,365.24,None
R1-01c5a4f028,Aluminium Composite Signage,7,A3,A3,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,11 Sets,20,840.13,None
R1-01c90d9331,Aluminium Composite Signage,6,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,8 Sets,20,3042.51,None
R1-01c971330e,Aluminium Composite Signage,35,A1,A1,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,13 Sets,20,11282.61,None
R1-01c991f7ee,Aluminium Composite Signage,8,A2,A2,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,13 Sets,20,1700.62,None
R1-01ca784c66,Aluminium Composite Signage,9,A3,A3,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,4 Sets,20,360.97,None
R1-01cff3d4df,Aluminium Composite Signage,8,A3,A3,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,9 Sets,20,817.66,None
R1-01d1e33104,Aluminium Composite Signage,45,A0,A0,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,2 Sets,20,5638.85,None
R1-01d307543e,Aluminium Composite Signage,6,A2,A2,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,1 Set,20,105.88,None
R1-01d320b43e,Aluminium Composite Signage,30,A1,A1,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,12 Sets,20,9048.59,None
R1-01da37549d,Aluminium Composite Signage,15,A4,A4,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,15 Sets,20,1204.48,None
R1-01dd4a49a1,Aluminium Composite Signage,4,A2,A2,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,15 Sets,20,1236.19,None
R1-01fb251904,Aluminium Composite Signage,2,A1,A1,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,3 Sets,20,200.19,None
R1-01fdb61815,Aluminium Composite Signage,45,A4,A4,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,11 Sets,20,1760.87,None
R1-020333c705,Aluminium Composite Signage,1,A3,A3,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,10 Sets,20,314.69,None
R1-020710dce9,Aluminium Composite Signage,5,A1,A1,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,4 Sets,20,563.76,None
R1-020b9c4604,Aluminium Composite Signage,35,A0,A0,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,11 Sets,20,25210.00,None
R1-021a6b8454,Aluminium Composite Signage,25,A4,A4,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,4 Sets,20,432.81,None
R1-021b5be759,Aluminium Composite Signage,45,A2,A2,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,15 Sets,20,8227.13,None
R1-0223b58459,Aluminium Composite Signage,30,A1,A1,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,5 Sets,20,4112.09,None
R1-0226648247,Aluminium Composite Signage,8,A2,A2,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,12 Sets,20,1569.30,None
R1-0232eab77b,Aluminium Composite Signage,15,A3,A3,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,5 Sets,20,643.10,None
R1-0235ab6cf1,Aluminium Composite Signage,15,A2,A2,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,7 Sets,20,1492.80,None
R1-023ba239c7,Aluminium Composite Signage,3,A2,A2,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,8 Sets,20,553.41,None
R1-023e74f409,Aluminium Composite Signage,35,A4,A4,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,11 Sets,20,1421.12,None
R1-023fc2781c,Aluminium Composite Signage,8,A4,A4,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,14 Sets,20,713.73,None
R1-0243ce7c14,Aluminium Composite Signage,9,A0,A0,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,1 Set,20,616.02,None
R1-0243ff30de,Aluminium Composite Signage,45,A0,A0,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,2 Sets,20,5634.56,None
R1-024c4e274f,Aluminium Composite Signage,45,A1,A1,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,5 Sets,20,5463.69,None
R1-0253467561,Aluminium Composite Signage,35,A3,A3,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,4 Sets,20,1004.25,None
R1-025af48f58,Aluminium Composite Signage,15,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,15 Sets,20,13732.84,None
R1-025bcf539c,Aluminium Composite Signage,2,A1,A1,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,5 Sets,20,369.50,None
R1-025dcb44bf,Aluminium Composite Signage,3,A4,A4,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,5 Sets,20,152.59,None
R1-026f5b0587,Aluminium Composite Signage,35,A3,A3,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,10 Sets,20,2510.17,None
R1-02729bbb52,Aluminium Composite Signage,5,A3,A3,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,4 Sets,20,250.21,None
R1-0279b6e5ae,Aluminium Composite Signage,50,A4,A4,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,5 Sets,20,852.38,None
R1-027d9a83e5,Aluminium Composite Signage,5,A3,A3,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,14 Sets,20,815.45,None
R1-027de45a37,Aluminium Composite Signage,30,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,6 Sets,20,10705.05,None
R1-0280002a94,Aluminium Composite Signage,25,A3,A3,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,15 Sets,20,2877.47,None
R1-02804a618f,Aluminium Composite Signage,9,A0,A0,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,2 Sets,20,1205.53,None
R1-028b7c1f5e,Aluminium Composite Signage,30,A0,A0,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,15 Sets,20,29504.77,None
R1-0291bf2031,Aluminium Composite Signage,1,A4,A4,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,3 Sets,20,63.81,None
R1-029a072e67,Aluminium Composite Signage,35,A1,A1,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,4 Sets,20,3794.24,None
R1-029f1d5d08,Aluminium Composite Signage,25,A1,A1,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,2 Sets,20,1229.27,None
R1-02a9a37b5b,Aluminium Composite Signage,1,A4,A4,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,15 Sets,20,355.71,None
R1-02b08aac9c,Aluminium Composite Signage,25,A1,A1,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,3 Sets,20,2045.63,None
R1-02bbfbe107,Aluminium Composite Signage,10,A0,A0,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,14 Sets,20,9479.86,None
R1-02bdb49915,Aluminium Composite Signage,40,A1,A1,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,10 Sets,20,10742.44,None
R1-02be8b6b28,Aluminium Composite Signage,20,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,2 Sets,20,2355.35,None
R1-02c59e6ccd,Aluminium Composite Signage,1,A4,A4,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,13 Sets,20,306.01,None
R1-02cbf7eccf,Aluminium Composite Signage,15,A3,A3,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,4 Sets,20,523.52,None
R1-02cff63d01,Aluminium Composite Signage,25,A1,A1,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,1 Set,20,693.43,None
R1-02d2122136,Aluminium Composite Signage,1,A2,A2,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,9 Sets,20,348.15,None
R1-02d55c61b0,Aluminium Composite Signage,50,A2,A2,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,11 Sets,20,6612.62,None
R1-02d75fc2b1,Aluminium Composite Signage,2,A1,A1,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,14 Sets,20,1041.32,None
R1-02d9e02878,Aluminium Composite Signage,9,A4,A4,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,4 Sets,20,235.85,None
R1-02db84d285,Aluminium Composite Signage,30,A0,A0,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,7 Sets,20,12497.13,None
R1-02e484eff3,Aluminium Composite Signage,6,A4,A4,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,9 Sets,20,420.89,None
R1-02e57c3f9c,Aluminium Composite Signage,45,A1,A1,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,3 Sets,20,3250.24,None
R1-02e59475d8,Aluminium Composite Signage,8,A3,A3,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,15 Sets,20,1236.00,None
R1-02e6433022,Aluminium Composite Signage,45,A4,A4,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,13 Sets,20,2056.59,None
R1-02e7f9f837,Aluminium Composite Signage,6,A3,A3,3mm Aluminium Composite,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,4 Sets,20,299.14,None
R1-0301f6234d,Aluminium Composite Signage,10,A2,A2,3mm Aluminium Composite,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,4 Sets,20,617.96,None
