SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-002f3d04ac,Display Board,20,A2,A2,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,4 Sets,20,276.73,None
R1-006d1c2521,Display Board,4,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,12 Sets,20,693.09,None
R1-0097dcf143,Display Board,50,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,12 Sets,20,926.26,None
R1-018cf28c4c,Display Board,50,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,14 Sets,20,3546.72,None
R1-0215018fc0,Display Board,4,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,2 Sets,20,62.95,None
R1-02d1c1a07c,Display Board,40,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,1 Set,20,199.46,None
R1-031c7ce7dd,Display Board,3,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,2 Sets,20,97.10,None
R1-039cfc6997,Display Board,1,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,3 Sets,20,60.62,None
R1-049ee0ae73,Display Board,7,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,11 Sets,20,420.42,None
R1-04c07c43b7,Display Board,10,A2,A2,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,3 Sets,20,124.43,None
R1-053fc12c62,Display Board,50,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,2529.74,None
R1-05a26dfa1b,Display Board,20,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,3 Sets,20,125.29,None
R1-05c17988ee,Display Board,30,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,13 Sets,20,1232.95,None
R1-05e614f530,Display Board,1,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,154.76,None
R1-06227b9b2f,Display Board,5,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,7 Sets,20,223.12,None
