SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-00129ebba6,Correx® by Corplex,2,A2,A2,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,9 Sets,20,173.94,None
R1-001b8dc356,Correx® by Corplex,7,A3,A3,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,11 Sets,20,272.04,None
R1-001d38db21,Correx® by Corplex,2,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,1 Set,20,18.35,None
R1-003c2fb52c,Correx® by Corplex,4,A1,A1,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,2 Sets,20,50.36,None
R1-005ee87900,Correx® by Corplex,10,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,279.79,None
R1-006c99298c,Correx® by Corplex,20,A2,A2,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,436.29,None
R1-0080a569b6,Correx® by Corplex,15,A3,A3,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,11 Sets,20,343.88,None
R1-00aa63bf9f,Correx® by Corplex,20,A1,A1,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,7 Sets,20,560.69,None
R1-00da8ee2a3,Correx® by Corplex,8,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,5 Sets,20,354.46,None
R1-00dc9b034e,Correx® by Corplex,4,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,449.68,None
R1-014e18fd8f,Correx® by Corplex,4,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,305.65,None
R1-0154c4af26,Correx® by Corplex,9,A2,A2,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,1 Set,20,36.38,None
R1-017c51e172,Correx® by Corplex,3,A2,A2,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,1 Set,20,23.71,None
R1-01b2f40944,Correx® by Corplex,3,A3,A3,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,7 Sets,20,129.99,None
R1-01bbea9f50,Correx® by Corplex,3,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,386.09,None
R1-01e649553a,Correx® by Corplex,9,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,2 Sets,20,52.64,None
R1-01ee41aa5f,Correx® by Corplex,20,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,7 Sets,20,221.32,None
R1-01facd4727,Correx® by Corplex,45,A2,A2,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,3 Sets,20,245.27,None
R1-0204532562,Correx® by Corplex,9,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,2 Sets,20,151.88,None
R1-02412df797,Correx® by Corplex,1,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,5 Sets,20,135.44,None
R1-027eb98781,Correx® by Corplex,5,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,162.26,None
R1-0284864e34,Correx® by Corplex,8,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,4 Sets,20,311.14,None
R1-028b94c943,Correx® by Corplex,20,A1,A1,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,14 Sets,20,1237.95,None
R1-02a50a8950,Correx® by Corplex,4,A1,A1,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,11 Sets,20,311.06,None
R1-02ab4b594f,Correx® by Corplex,40,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,352.01,None
R1-02aedca65f,Correx® by Corplex,8,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,9 Sets,20,242.01,None
R1-02b25dfae5,Correx® by Corplex,40,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,6 Sets,20,290.29,None
R1-02c1514d1b,Correx® by Corplex,25,A3,A3,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,515.22,None
R1-02c4a17835,Correx® by Corplex,20,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,3 Sets,20,429.01,None
R1-02cf74e396,Correx® by Corplex,45,A2,A2,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,7 Sets,20,577.83,None
R1-02d37892c8,Correx® by Corplex,3,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,9 Sets,20,382.02,None
R1-0324f32546,Correx® by Corplex,4,A1,A1,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,282.66,None
R1-0343fb1246,Correx® by Corplex,4,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,336.22,None
R1-0356844f6c,Correx® by Corplex,9,A2,A2,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,11 Sets,20,398.40,None
R1-035ba8305f,Correx® by Corplex,9,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,9 Sets,20,697.10,None
R1-0370ca3525,Correx® by Corplex,45,A2,A2,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,1 Set,20,83.14,None
R1-03b4a7d1dc,Correx® by Corplex,15,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,4 Sets,20,109.20,None
R1-03dfe760aa,Correx® by Corplex,15,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,1142.65,None
R1-03f120df14,Correx® by Corplex,25,A3,A3,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,303.19,None
R1-03ffe02d49,Correx® by Corplex,6,A2,A2,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,305.18,None
R1-041afdb0a2,Correx® by Corplex,45,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,2 Sets,20,99.33,None
R1-041b8753b6,Correx® by Corplex,30,A1,A1,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,1 Set,20,90.98,None
R1-04205d5014,Correx® by Corplex,9,A1,A1,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,432.08,None
R1-04239185bf,Correx® by Corplex,9,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,11 Sets,20,295.58,None
R1-043d662271,Correx® by Corplex,25,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,2 Sets,20,377.32,None
R1-0456ee8537,Correx® by Corplex,2,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,6 Sets,20,205.27,None
R1-046381c625,Correx® by Corplex,20,A3,A3,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,1 Set,20,33.97,None
R1-046d237d67,Correx® by Corplex,6,A1,A1,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,480.98,None
