SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-0000d7c70c,Foam Signs,10,A1,A1,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,9 Sets,20,952.14,None
R1-0004a4fc6f,Foam Signs,1,A3,A3,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,3 Sets,20,95.56,None
R1-0006cc326b,Foam Signs,50,A0,A0,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,12 Sets,20,9766.32,None
R1-000bf7fb6f,Foam Signs,15,A1,A1,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,14 Sets,20,1745.89,None
R1-000c7fe1c2,Foam Signs,10,A3,A3,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,4 Sets,20,171.73,None
R1-000d4ed9f1,Foam Signs,9,A3,A3,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,7 Sets,20,356.53,None
R1-0012e8e812,Foam Signs,40,A0,A0,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,11 Sets,20,9003.04,None
R1-0013439414,Foam Signs,8,A1,A1,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,10 Sets,20,805.64,None
R1-00154d8ee2,Foam Signs,6,A2,A2,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,12 Sets,20,626.22,None
R1-0015d04384,Foam Signs,25,A2,A2,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,5 Sets,20,766.76,None
R1-00172cd089,Foam Signs,25,A0,A0,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,14 Sets,20,8421.32,None
R1-0019db1143,Foam Signs,25,A3,A3,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,4 Sets,20,300.99,None
R1-001f771293,Foam Signs,4,A3,A3,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,14 Sets,20,440.22,None
R1-002d3789fb,Foam Signs,8,A2,A2,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,13 Sets,20,802.76,None
R1-00391266ec,Foam Signs,8,A2,A2,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,5 Sets,20,348.42,None
R1-003a57c1ed,Foam Signs,7,A2,A2,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,5 Sets,20,319.85,None
R1-003b4043cf,Foam Signs,50,A1,A1,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,14 Sets,20,6526.08,None
R1-0041e04910,Foam Signs,10,A2,A2,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,9 Sets,20,560.12,None
R1-0044577841,Foam Signs,6,A1,A1,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,7 Sets,20,395.02,None
R1-004cfc935d,Foam Signs,5,A3,A3,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,8 Sets,20,253.62,None
R1-004d90f93a,Foam Signs,25,A2,A2,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,11 Sets,20,1541.97,None
R1-005a1f0218,Foam Signs,9,A2,A2,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,4 Sets,20,227.05,None
R1-005b2aa61d,Foam Signs,5,A1,A1,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,8 Sets,20,441.52,None
R1-005b4f6f5e,Foam Signs,4,A0,A0,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,2 Sets,20,230.81,None
R1-005c1e72d9,Foam Signs,40,A3,A3,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,4 Sets,20,437.54,None
R1-005d5c6f8e,Foam Signs,9,A2,A2,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,4 Sets,20,296.7,None
R1-0064c5855a,Foam Signs,7,A1,A1,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,11 Sets,20,889.4,None
R1-0068b0f143,Foam Signs,15,A0,A0,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,10 Sets,20,3920.65,None
R1-006b1c27e9,Foam Signs,3,A0,A0,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,12 Sets,20,933.08,None
R1-0076be1172,Foam Signs,40,A2,A2,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,9 Sets,20,1508.69,None
R1-007710a2e3,Foam Signs,50,A1,A1,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,3 Sets,20,1121.63,None
R1-0079695ee8,Foam Signs,5,A0,A0,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,9 Sets,20,1034.97,None
R1-008387b425,Foam Signs,30,A2,A2,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,3 Sets,20,401.89,None
R1-0086ec4b02,Foam Signs,7,A3,A3,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,14 Sets,20,569.81,None
R1-0087c3d9d7,Foam Signs,3,A3,A3,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,10 Sets,20,359.06,None
R1-008bf742e5,Foam Signs,30,A3,A3,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,8 Sets,20,639.32,None
R1-008cedca61,Foam Signs,8,A3,A3,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,4 Sets,20,155.83,None
R1-008f020062,Foam Signs,1,A2,A2,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,10 Sets,20,246.79,None
R1-00938e0097,Foam Signs,4,A2,A2,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,12 Sets,20,499.67,None
