SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-001840886b,Magnetic Signs,4,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,6 Sets,20,366.85,None
R1-0091809f3a,Magnetic Signs,3,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,2 Sets,20,130.65,None
R1-00e5cdc6e1,Magnetic Signs,3,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,6 Sets,20,275.35,None
R1-0102fa5ff8,Magnetic Signs,8,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,3 Sets,20,194.70,None
R1-011f346f42,Magnetic Signs,4,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,5 Sets,20,430.16,None
R1-019be5a937,Magnetic Signs,6,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,5 Sets,20,519.75,None
R1-01c031f4a1,Magnetic Signs,10,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,13 Sets,20,1377.64,None
R1-01d01aabb9,Magnetic Signs,9,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,15 Sets,20,3058.77,None
R1-01dde81e4c,Magnetic Signs,2,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,8 Sets,20,302.10,None
R1-027a184516,Magnetic Signs,5,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,13 Sets,20,900.24,None
R1-02cc3063ec,Magnetic Signs,2,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,2 Sets,20,74.10,None
R1-02d00dfb0d,Magnetic Signs,50,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,15 Sets,20,4734.73,None
R1-02ff4185ea,Magnetic Signs,9,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,3 Sets,20,603.57,None
R1-036a79d660,Magnetic Signs,10,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,6 Sets,20,1203.92,None
R1-03a48f6103,Magnetic Signs,50,A4,A4,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,14 Sets,20,3194.55,None
R1-03b810df73,Magnetic Signs,6,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,7 Sets,20,917.40,None
R1-03f7471b5e,Magnetic Signs,8,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,1 Set,20,176.00,None
