SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-00057b0fc2,Whiteboards,5,A2,A2,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,32.54,None
R1-02bc8df028,Whiteboards,3,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,22.60,None
R1-03024cdf9a,Whiteboards,50,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,490.09,None
R1-0323d4e2ca,Whiteboards,45,A3,A3,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,70.50,None
R1-03250a6851,Whiteboards,3,A2,A2,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,30.39,None
R1-039770232c,Whiteboards,4,A2,A2,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,34.60,None
R1-049336b09f,Whiteboards,45,A1,A1,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,197.40,None
R1-0553e191e0,Whiteboards,15,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,186.63,None
R1-06373da5a5,Whiteboards,8,A2,A2,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,39.85,None
R1-0680d8ac20,Whiteboards,5,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,77.09,None
R1-06994803e4,Whiteboards,40,A3,A3,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,57.73,None
R1-0850a4825a,Whiteboards,45,A3,A3,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,61.31,None
R1-0851a4da34,Whiteboards,10,A3,A3,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,31.02,None
R1-0949af3b44,Whiteboards,15,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,31.34,None
R1-09a01d4bd5,Whiteboards,35,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,34.45,None
R1-09ae0d1bf6,Whiteboards,15,A2,A2,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,59.96,None
R1-0abc722410,Whiteboards,10,A2,A2,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,51.37,None
R1-0dc0469ffc,Whiteboards,6,A2,A2,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,39.86,None
